N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"67,900",100,+0.15%,100,"4,053,482","5,969,783",51.37,"12,187,274",11.75,13.92,
2,LG에너지솔루션,"425,000","14,500",-3.30%,500,"994,500","234,000",3.08,"286,411",107.24,10.68,
3,SK하이닉스,"111,500",500,-0.45%,"5,000","811,723","728,002",50.04,"2,368,621",8.45,16.84,
4,삼성바이오로직스,"801,000","8,000",-0.99%,"2,500","529,982","66,165",10.56,"31,730",136.27,8.21,
5,NAVER,"313,000","3,500",-1.11%,100,"513,474","164,049",54.61,"504,227",3.12,106.72,
6,삼성전자우,"61,900",100,-0.16%,100,"509,367","822,887",73.32,"840,761",10.71,N/A,
7,카카오,"95,100","2,900",-2.96%,100,"424,403","446,270",28.93,"2,041,200",30.36,17.10,
8,삼성SDI,"585,000","16,000",-2.66%,"5,000","402,272","68,765",43.39,"231,709",35.20,8.45,
9,현대차,"179,500","3,000",+1.70%,"5,000","383,534","213,668",26.52,"638,848",10.06,6.84,
10,LG화학,"510,000","15,000",-2.86%,"5,000","360,021","70,592",48.61,"110,337",10.88,18.47,
11,기아,"77,500","2,600",+3.47%,"5,000","314,157","405,363",34.35,"2,496,597",6.60,14.69,
12,POSCO홀딩스,"286,000","3,000",+1.06%,"5,000","249,354","87,187",52.71,"196,260",3.77,13.97,
13,KB금융,"59,600","1,400",+2.41%,"5,000","245,762","412,352",72.75,"974,037",5.62,9.80,
14,셀트리온,"162,000","2,000",-1.22%,"1,000","223,488","137,956",19.13,"299,603",39.60,15.81,
15,카카오뱅크,"45,350",750,-1.63%,"5,000","215,485","475,159",16.02,"1,042,256",97.11,4.91,
16,신한지주,"41,150",900,+2.24%,"5,000","212,581","516,600",62.07,"1,031,048",5.47,8.80,
17,삼성물산,"109,500",0,0.00%,100,"204,641","186,887",15.69,"183,526",12.63,5.40,
18,LG전자,"125,000","3,000",+2.46%,"5,000","204,560","163,648",27.77,"2,325,502",21.91,6.32,
19,현대모비스,"208,000","1,000",-0.48%,"5,000","196,712","94,573",34.13,"216,370",8.38,6.87,
20,SK이노베이션,"206,500",0,0.00%,"5,000","190,941","92,466",23.50,"258,778",63.54,1.91,
21,SK,"248,500",500,+0.20%,200,"184,261","74,149",21.68,"76,061",8.99,10.19,
22,카카오페이,"128,500","5,500",-4.10%,500,"170,184","132,439",42.59,"164,737",-648.99,-2.45,
23,하나금융지주,"47,000",650,+1.40%,"5,000","141,114","300,242",71.19,"869,817",4.00,10.86,
24,한국전력,"21,900",150,-0.68%,"5,000","140,590","641,964",14.69,"1,222,378",-2.65,-7.99,
25,크래프톤,"281,500","1,500",+0.54%,100,"138,138","49,072",29.02,"95,627",24.60,17.86,
26,LG생활건강,"881,000","13,000",+1.50%,"5,000","137,596","15,618",40.63,"38,305",18.48,16.65,
27,SK텔레콤,"62,500","2,000",+3.31%,100,"136,771","218,833",46.36,"1,197,682",9.14,13.63,
28,삼성생명,"65,700","1,200",+1.86%,500,"131,400","200,000",12.87,"185,733",8.94,4.01,
29,HMM,"26,550",600,+2.31%,"5,000","129,840","489,039",10.70,"4,442,317",1.93,88.62,
30,두산중공업,"20,200",500,-2.42%,"5,000","124,513","616,402",8.48,"3,033,011",19.69,10.67,
31,LG,"74,900",400,+0.54%,"5,000","117,818","157,301",36.52,"155,216",4.83,12.36,
32,고려아연,"619,000","9,000",-1.43%,"5,000","116,805","18,870",19.90,"41,595",14.48,11.07,
33,하이브,"282,000","1,500",-0.53%,500,"116,617","41,353",15.54,"253,899",78.20,6.83,
34,S-Oil,"103,500","4,500",+4.55%,"2,500","116,523","112,583",79.24,"490,579",8.75,21.76,
35,삼성전기,"156,000","1,500",-0.95%,"5,000","116,522","74,694",28.76,"319,931",13.57,14.29,
36,현대중공업,"127,500","3,500",+2.82%,"5,000","113,186","88,773",3.94,"113,243",-11.95,-14.87,
37,KT&G,"82,300",500,+0.61%,"5,000","112,992","137,292",37.20,"277,387",11.56,10.74,
38,우리금융지주,"15,450",250,+1.64%,"5,000","112,485","728,061",35.27,"1,892,555",4.33,10.59,
39,대한항공,"31,100",550,-1.74%,"5,000","108,172","347,821",13.47,"1,890,726",16.33,11.60,
40,SK바이오사이언스,"139,500","3,500",-2.45%,500,"106,857","76,600",5.18,"179,499",28.89,38.08,
41,삼성에스디에스,"136,500",500,-0.36%,500,"105,621","77,378",12.80,"82,729",17.28,8.80,
42,삼성화재,"219,500","3,000",+1.39%,500,"103,988","47,375",48.86,"90,976",9.89,7.09,
43,엔씨소프트,"453,500","4,500",-0.98%,500,"99,561","21,954",42.08,"58,828",25.09,12.62,
44,포스코케미칼,"126,500","12,500",-8.99%,500,"97,991","77,463",6.52,"1,305,157",71.75,7.92,
45,KT,"36,800",500,+1.38%,"5,000","96,089","261,112",41.64,"1,118,692",7.08,9.36,
46,아모레퍼시픽,"156,000","2,000",+1.30%,500,"91,249","58,493",27.15,"231,881",55.60,4.20,
47,넷마블,"102,500","1,000",-0.97%,100,"88,102","85,954",22.85,"103,311",36.67,4.29,
48,SK아이이테크놀로지,"123,500","5,000",-3.89%,"1,000","88,053","71,298",9.80,"209,845",88.66,5.57,
49,LG이노텍,"368,500","13,000",-3.41%,"5,000","87,213","23,667",25.61,"317,222",9.82,30.94,
50,기업은행,"11,250",250,+2.27%,"5,000","83,734","744,301",14.44,"2,463,295",3.71,9.21,
51,SK스퀘어,"56,100",100,-0.18%,100,"79,363","141,468",39.64,"406,416",3.48,N/A,
52,현대글로비스,"190,000","1,000",-0.52%,500,"71,250","37,500",43.97,"81,762",9.10,14.41,
53,SK바이오팜,"87,100",300,-0.34%,500,"68,211","78,313",6.04,"77,254",105.19,15.75,
54,롯데케미칼,"196,500",0,0.00%,"5,000","67,351","34,275",24.33,"44,187",5.01,9.87,
55,LG디스플레이,"18,500",300,-1.60%,"5,000","66,196","357,816",16.44,"1,594,295",5.58,9.68,
56,한화솔루션,"34,500",700,+2.07%,"5,000","65,991","191,278",18.64,"748,441",10.44,8.79,
